Date, Time, Min (count/min), Max (count/min) 
12/25/18, 7:30 AM,67,67
12/25/18, 7:33 AM,58,58
12/25/18, 7:37 AM,56,56
12/25/18, 7:41 AM,58,58
12/25/18, 7:47 AM,85,85
12/25/18, 7:54 AM,65,65
12/25/18, 7:56 AM,65,65
12/25/18, 8:10 AM,65,65
12/25/18, 8:13 AM,88,88
12/25/18, 8:19 AM,81,81
12/25/18, 8:24 AM,97,97
12/25/18, 8:25 AM,72,72
12/25/18, 8:27 AM,77,77
12/25/18, 8:30 AM,99,99
12/25/18, 8:32 AM,86,86
12/25/18, 8:37 AM,77,77
12/25/18, 8:50 AM,80,80
12/25/18, 8:52 AM,71,71
12/25/18, 8:57 AM,77,77
12/25/18, 9:02 AM,82,82
12/25/18, 9:04 AM,76,76
12/25/18, 9:10 AM,78,78
12/25/18, 9:15 AM,76,76
12/25/18, 9:17 AM,72,72
12/25/18, 9:25 AM,68,68
12/25/18, 9:27 AM,70,70
12/25/18, 9:32 AM,65,65
12/25/18, 9:38 AM,67,67
12/25/18, 9:44 AM,117,117
12/25/18, 9:44 AM,81,81
12/25/18, 9:44 AM,83,83
12/25/18, 9:45 AM,89,89
12/25/18, 9:45 AM,141,141
12/25/18, 9:45 AM,143,143
12/25/18, 9:45 AM,154,154
12/25/18, 9:45 AM,154,154
12/25/18, 9:45 AM,153,153
12/25/18, 9:45 AM,153,153
12/25/18, 9:45 AM,156,156
12/25/18, 9:45 AM,162,162
12/25/18, 9:46 AM,167,167
12/25/18, 9:46 AM,167,167
12/25/18, 9:46 AM,170,170
12/25/18, 9:46 AM,177,177
12/25/18, 9:46 AM,178,178
12/25/18, 9:46 AM,178,178
12/25/18, 9:46 AM,176,176
12/25/18, 9:46 AM,182,182
12/25/18, 9:46 AM,184,184
12/25/18, 9:46 AM,185,185
12/25/18, 9:46 AM,177,177
12/25/18, 9:46 AM,171,171
12/25/18, 9:47 AM,171,171
12/25/18, 9:47 AM,172,172
12/25/18, 9:47 AM,172,172
12/25/18, 9:47 AM,170,170
12/25/18, 9:47 AM,170,170
12/25/18, 9:47 AM,170,170
12/25/18, 9:47 AM,170,170
12/25/18, 9:47 AM,170,170
12/25/18, 9:47 AM,169,169
12/25/18, 9:47 AM,169,169
12/25/18, 9:47 AM,169,169
12/25/18, 9:47 AM,169,169
12/25/18, 9:48 AM,168,168
12/25/18, 9:48 AM,168,168
12/25/18, 9:48 AM,169,169
12/25/18, 9:48 AM,169,169
12/25/18, 9:48 AM,169,169
12/25/18, 9:48 AM,169,169
12/25/18, 9:48 AM,168,168
12/25/18, 9:48 AM,166,166
12/25/18, 9:48 AM,167,167
12/25/18, 9:48 AM,167,167
12/25/18, 9:48 AM,167,167
12/25/18, 9:48 AM,167,167
12/25/18, 9:49 AM,168,168
12/25/18, 9:49 AM,168,168
12/25/18, 9:49 AM,169,169
12/25/18, 9:49 AM,170,170
12/25/18, 9:49 AM,170,170
12/25/18, 9:49 AM,171,171
12/25/18, 9:49 AM,177,177
12/25/18, 9:49 AM,176,176
12/25/18, 9:49 AM,179,179
12/25/18, 9:49 AM,178,178
12/25/18, 9:49 AM,181,181
12/25/18, 9:49 AM,181,181
12/25/18, 9:50 AM,182,182
12/25/18, 9:50 AM,183,183
12/25/18, 9:50 AM,184,184
12/25/18, 9:50 AM,183,183
12/25/18, 9:50 AM,183,183
12/25/18, 9:50 AM,183,183
12/25/18, 9:50 AM,183,183
12/25/18, 9:50 AM,184,184
12/25/18, 9:50 AM,185,185
12/25/18, 9:50 AM,185,185
12/25/18, 9:50 AM,186,186
12/25/18, 9:50 AM,187,187
12/25/18, 9:51 AM,188,188
12/25/18, 9:51 AM,187,187
12/25/18, 9:51 AM,187,187
12/25/18, 9:51 AM,188,188
12/25/18, 9:51 AM,188,188
12/25/18, 9:51 AM,188,188
12/25/18, 9:51 AM,188,188
12/25/18, 9:51 AM,190,190
12/25/18, 9:51 AM,189,189
12/25/18, 9:51 AM,189,189
12/25/18, 9:51 AM,189,189
12/25/18, 9:51 AM,189,189
12/25/18, 9:52 AM,188,188
12/25/18, 9:52 AM,188,188
12/25/18, 9:52 AM,188,188
12/25/18, 9:52 AM,189,189
12/25/18, 9:52 AM,188,188
12/25/18, 9:52 AM,190,190
12/25/18, 9:52 AM,190,190
12/25/18, 9:52 AM,190,190
12/25/18, 9:52 AM,190,190
12/25/18, 9:52 AM,191,191
12/25/18, 9:52 AM,192,192
12/25/18, 9:52 AM,191,191
12/25/18, 9:53 AM,190,190
12/25/18, 9:53 AM,190,190
12/25/18, 9:53 AM,189,189
12/25/18, 9:53 AM,191,191
12/25/18, 9:53 AM,192,192
12/25/18, 9:53 AM,192,192
12/25/18, 9:53 AM,192,192
12/25/18, 9:53 AM,192,192
12/25/18, 9:53 AM,191,191
12/25/18, 9:53 AM,191,191
12/25/18, 9:53 AM,191,191
12/25/18, 9:53 AM,191,191
12/25/18, 9:54 AM,193,193
12/25/18, 9:54 AM,193,193
12/25/18, 9:54 AM,193,193
12/25/18, 9:54 AM,193,193
12/25/18, 9:54 AM,194,194
12/25/18, 9:54 AM,194,194
12/25/18, 9:54 AM,193,193
12/25/18, 9:54 AM,194,194
12/25/18, 9:54 AM,194,194
12/25/18, 9:54 AM,195,195
12/25/18, 9:54 AM,194,194
12/25/18, 9:54 AM,194,194
12/25/18, 9:55 AM,194,194
12/25/18, 9:55 AM,194,194
12/25/18, 9:55 AM,193,193
12/25/18, 9:55 AM,193,193
12/25/18, 9:55 AM,193,193
12/25/18, 9:55 AM,192,192
12/25/18, 9:55 AM,192,192
12/25/18, 9:55 AM,193,193
12/25/18, 9:55 AM,195,195
12/25/18, 9:55 AM,195,195
12/25/18, 9:55 AM,195,195
12/25/18, 9:55 AM,195,195
12/25/18, 9:56 AM,195,195
12/25/18, 9:56 AM,196,196
12/25/18, 9:56 AM,196,196
12/25/18, 9:56 AM,196,196
12/25/18, 9:56 AM,196,196
12/25/18, 9:56 AM,195,195
12/25/18, 9:56 AM,196,196
12/25/18, 9:56 AM,196,196
12/25/18, 9:56 AM,197,197
12/25/18, 9:56 AM,197,197
12/25/18, 9:56 AM,198,198
12/25/18, 9:56 AM,198,198
12/25/18, 9:57 AM,197,197
12/25/18, 9:57 AM,197,197
12/25/18, 9:57 AM,197,197
12/25/18, 9:57 AM,197,197
12/25/18, 9:57 AM,197,197
12/25/18, 9:57 AM,197,197
12/25/18, 9:57 AM,195,195
12/25/18, 9:57 AM,195,195
12/25/18, 9:57 AM,196,196
12/25/18, 9:57 AM,196,196
12/25/18, 9:57 AM,195,195
12/25/18, 9:57 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,195,195
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,194,194
12/25/18, 9:58 AM,193,193
12/25/18, 9:58 AM,193,193
12/25/18, 9:58 AM,193,193
12/25/18, 9:59 AM,194,194
12/25/18, 9:59 AM,193,193
12/25/18, 9:59 AM,193,193
12/25/18, 9:59 AM,194,194
12/25/18, 9:59 AM,195,195
12/25/18, 9:59 AM,194,194
12/25/18, 9:59 AM,194,194
12/25/18, 9:59 AM,194,194
12/25/18, 9:59 AM,195,195
12/25/18, 9:59 AM,195,195
12/25/18, 9:59 AM,195,195
12/25/18, 9:59 AM,194,194
12/25/18, 10:00 AM,194,194
12/25/18, 10:00 AM,186,186
12/25/18, 10:00 AM,180,180
12/25/18, 10:00 AM,172,172
12/25/18, 10:00 AM,170,170
12/25/18, 10:00 AM,169,169
12/25/18, 10:01 AM,153,153
12/25/18, 10:01 AM,155,155
12/25/18, 10:01 AM,160,160
12/25/18, 10:01 AM,161,161
12/25/18, 10:01 AM,162,162
12/25/18, 10:01 AM,165,165
12/25/18, 10:01 AM,167,167
12/25/18, 10:02 AM,167,167
12/25/18, 10:02 AM,168,168
12/25/18, 10:02 AM,172,172
12/25/18, 10:02 AM,176,176
12/25/18, 10:02 AM,174,174
12/25/18, 10:02 AM,172,172
12/25/18, 10:02 AM,174,174
12/25/18, 10:02 AM,174,174
12/25/18, 10:02 AM,173,173
12/25/18, 10:02 AM,174,174
12/25/18, 10:02 AM,172,172
12/25/18, 10:02 AM,172,172
12/25/18, 10:02 AM,172,172
12/25/18, 10:03 AM,170,170
12/25/18, 10:03 AM,171,171
12/25/18, 10:03 AM,176,176
12/25/18, 10:03 AM,175,175
12/25/18, 10:03 AM,172,172
12/25/18, 10:03 AM,175,175
12/25/18, 10:03 AM,174,174
12/25/18, 10:03 AM,172,172
12/25/18, 10:03 AM,173,173
12/25/18, 10:03 AM,176,176
12/25/18, 10:04 AM,183,183
12/25/18, 10:04 AM,190,190
12/25/18, 10:04 AM,191,191
12/25/18, 10:04 AM,192,192
12/25/18, 10:04 AM,191,191
12/25/18, 10:04 AM,191,191
12/25/18, 10:04 AM,190,190
12/25/18, 10:04 AM,191,191
12/25/18, 10:04 AM,191,191
12/25/18, 10:04 AM,192,192
12/25/18, 10:04 AM,191,191
12/25/18, 10:04 AM,190,190
12/25/18, 10:05 AM,189,189
